"filename", "language", "JavaScript", "HTML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\README.md", "Markdown", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\buildings.js", "JavaScript", 132, 0, 0, 0, 49, 21, 202
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\buttons.js", "JavaScript", 31, 0, 0, 0, 1, 4, 36
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\game.html", "HTML", 0, 124, 0, 0, 0, 2, 126
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\index.html", "HTML", 0, 48, 0, 0, 0, 7, 55
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\resources.js", "JavaScript", 95, 0, 0, 0, 30, 20, 145
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\script.js", "JavaScript", 58, 0, 0, 0, 24, 17, 99
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\style.css", "CSS", 0, 0, 0, 236, 6, 47, 289
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\time.js", "JavaScript", 76, 0, 0, 0, 24, 13, 113
"c:\Users\Chris\Documents\GitHub\Untitled-JavaScript-Game\website.js", "JavaScript", 48, 0, 0, 0, 1, 9, 58
"Total", "-", 440, 172, 3, 236, 135, 141, 1127